2018-04-22 19:57:08.887 INFO  [main] - main Begin 
2018-04-22 19:57:08.889 INFO  [main] - main End 
2018-04-22 19:58:57.705 INFO  [main] - Begin 
2018-04-22 19:58:57.710 INFO  [main] - main End 
2018-04-22 20:00:35.390 INFO  [main] - Begin 
2018-04-22 20:00:35.392 INFO  [main] - Groups: 3 
2018-04-22 20:00:35.393 INFO  [main] - End 
2018-04-22 20:00:48.052 INFO  [main] - Begin 
2018-04-22 20:00:48.055 INFO  [main] - Groups: 1 
2018-04-22 20:00:48.056 INFO  [main] - End 
2018-04-22 20:01:10.606 INFO  [main] - Begin 
2018-04-22 20:01:10.608 INFO  [main] - Groups: 3 
2018-04-22 20:01:10.608 INFO  [main] - End 
2018-04-22 20:05:09.054 INFO  [main] - Begin 
2018-04-22 20:05:09.057 INFO  [main] - Groups: 4 
2018-04-22 20:05:09.057 INFO  [main] - End 
2018-04-22 20:05:18.396 INFO  [main] - Begin 
2018-04-22 20:05:18.399 INFO  [main] - Groups: 3 
2018-04-22 20:05:18.399 INFO  [main] - End 
2018-04-22 20:05:28.417 INFO  [main] - Begin 
2018-04-22 20:05:28.419 INFO  [main] - Groups: 1 
2018-04-22 20:05:28.419 INFO  [main] - End 
2018-04-22 20:05:35.653 INFO  [main] - Begin 
2018-04-22 20:05:35.655 INFO  [main] - Groups: 1 
2018-04-22 20:05:35.656 INFO  [main] - End 
2018-04-22 20:05:41.229 INFO  [main] - Begin 
2018-04-22 20:05:41.232 INFO  [main] - Groups: 2 
2018-04-22 20:05:41.232 INFO  [main] - End 
2018-04-22 20:05:47.578 INFO  [main] - Begin 
2018-04-22 20:05:47.581 INFO  [main] - Groups: 3 
2018-04-22 20:05:47.581 INFO  [main] - End 
2018-04-22 20:11:30.714 INFO  [main] - Begin 
2018-04-22 20:11:30.716 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 20:11:30.717 INFO  [main] - End 
2018-04-22 21:22:41.066 INFO  [main] - Begin 
2018-04-22 21:22:41.068 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:22:41.092 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 4 at golf.Pairings.displayPairings(Pairings.java:78) at golf.Pairings.main(Pairings.java:51) 
2018-04-22 21:23:48.099 INFO  [main] - Begin 
2018-04-22 21:23:48.101 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:23:48.110 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 4 at golf.Pairings.displayPairings(Pairings.java:78) at golf.Pairings.main(Pairings.java:51) 
2018-04-22 21:24:07.716 INFO  [main] - Begin 
2018-04-22 21:24:07.718 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:24:07.728 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 4 at golf.Pairings.displayPairings(Pairings.java:78) at golf.Pairings.main(Pairings.java:51) 
2018-04-22 21:24:37.391 INFO  [main] - Begin 
2018-04-22 21:24:37.394 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:24:37.404 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 4 at golf.Pairings.displayPairings(Pairings.java:78) at golf.Pairings.main(Pairings.java:51) 
2018-04-22 21:25:43.078 INFO  [main] - Begin 
2018-04-22 21:25:43.082 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:25:43.094 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 4 at golf.Pairings.displayPairings(Pairings.java:78) at golf.Pairings.main(Pairings.java:51) 
2018-04-22 21:27:35.596 INFO  [main] - Begin 
2018-04-22 21:27:35.598 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:27:35.608 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 2 at golf.Pairings.getOpenArraySlotInGroup(Pairings.java:64) at golf.Pairings.main(Pairings.java:44) 
2018-04-22 21:29:08.401 INFO  [main] - Begin 
2018-04-22 21:29:08.404 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:29:08.413 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 3 at golf.Pairings.getOpenArraySlotInGroup(Pairings.java:64) at golf.Pairings.main(Pairings.java:44) 
2018-04-22 21:29:36.686 INFO  [main] - Begin 
